ID,Player Name,Overall,Club,League,League location,Nationality,Position,Age,Height (cm),Weight (Kg),Pace,Acceleration,Sprint Speed,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,Free Kick,Short Pass,Long Pass,Pass Curve,Defending,Interceptions,Heading,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Diving,Reflexes,Handling,Speed,Kicking,Positoning,Preferred Foot,Attacking Workrate,Defensive Workrate,Weak Foot,Skill Moves,CB,RB,LB,RWB,LWB,CDM,CM,RM,LM,CAM,CF,RF,LF,RW,LW,ST
12078,Jihong Jiang,62,Guangzhou R&F FC,CSL,China PR,China PR,CB,28,191,88,57,66,50,34,44,63,54,27,50,28,22,25,39,20,29,38,38,31,23,22,51,46,28,60,53,62,60,64,64,73,76,72,71,76,0,0,0,0,0,0,Right,Med,Med,2,2,61,54,54,51,51,54,42,39,39,36,36,36,36,35,35,39
12079,Miloš Zukanovi?,62,Red Star FC,Dominos Ligue 2,France,Serbia,ST,22,186,82,52,54,51,57,53,49,54,59,55,62,58,64,62,59,59,69,50,54,39,32,62,42,34,29,27,71,19,28,27,66,69,62,73,53,0,0,0,0,0,0,Right,High,Low,3,2,43,42,42,43,43,44,53,55,55,57,58,58,58,56,56,61
12080,Kristján Flóki Finnbogason,62,IF Brommapojkarna,Allsvenskan,Sweden,Iceland,ST,23,190,85,65,63,67,54,52,48,48,59,56,59,62,63,66,41,54,63,41,48,26,26,48,40,44,30,32,67,32,19,19,70,67,68,76,56,0,0,0,0,0,0,Right,Med,Med,3,2,43,41,41,42,42,42,49,53,53,53,57,57,57,53,53,61
12081,Fan Yi,62,Changchun Yatai FC,CSL,China PR,China PR,GK,26,185,79,0,47,50,0,52,56,56,27,58,0,10,11,21,14,11,17,0,23,23,15,32,30,15,0,15,25,16,11,7,0,55,35,61,25,64,68,59,47,54,55,Right,Med,Med,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12082,Nathan Blissett,62,Macclesfield Town,EFL League Two,England,England,ST,28,192,78,65,75,56,55,71,47,54,61,50,60,59,61,67,52,57,62,41,44,33,28,48,34,49,28,23,65,23,25,23,75,61,68,85,60,0,0,0,0,0,0,Right,Med,Med,2,2,42,41,41,42,42,42,48,53,53,53,56,56,56,54,54,61
12083,Jeremy Broh Tonye,62,Padova,Calcio B,Italy,Italy,CM,21,180,75,73,74,72,62,70,70,66,64,45,50,59,37,69,55,52,56,59,55,54,47,66,62,47,61,57,60,59,65,60,59,68,63,53,67,0,0,0,0,0,0,Right,Med,Med,3,2,61,63,63,62,62,62,61,61,61,61,60,60,60,60,60,58
12084,Ian McShane,62,St. Mirren,Scottish Premiership,Scotland,Scotland,CM,25,175,64,72,73,72,63,71,75,59,64,60,61,54,56,69,68,56,65,61,62,56,65,64,60,62,53,53,54,53,55,45,64,60,71,65,53,0,0,0,0,0,0,Right,Med,Med,3,2,56,58,58,59,59,59,61,62,62,62,62,62,62,62,62,61
12085,Stef Gronsveld,62,FC Emmen,Eredivisie,Holland,Holland,RB,22,173,60,65,66,65,62,65,80,59,61,54,38,51,33,34,44,47,43,59,52,59,34,64,63,55,60,63,47,58,63,61,60,73,66,54,64,0,0,0,0,0,0,Right,Med,Med,4,2,60,61,61,62,62,62,59,59,59,57,54,54,54,57,57,50
12086,Ariajasuru Hasegawa,62,Nagoya Grampus,Meiji Yasuda J1 League,Japan,Japan,CM,29,186,78,58,61,56,62,68,44,63,65,65,50,66,44,65,47,41,53,61,71,54,49,63,60,52,55,45,57,54,62,50,65,67,54,74,58,0,0,0,0,0,0,Right,Med,Med,3,3,58,56,56,56,56,59,61,60,60,62,61,61,61,60,60,59
12087,Tino Schmidt,62,VfL Sportfreunde Lotte,3 Liga,Germany,Germany,RM,25,174,67,71,75,68,64,77,79,57,60,53,52,57,56,52,47,47,39,55,53,58,40,61,44,50,23,20,42,21,19,25,51,70,71,46,36,0,0,0,0,0,0,Right,Med,Med,4,2,34,44,44,47,47,41,53,61,61,59,59,59,59,61,61,56
12088,Jérémy Livolant,62,La Berrichonne de Châteauroux,Dominos Ligue 2,France,France,CAM,20,175,70,67,64,69,62,60,64,53,65,42,56,53,53,61,59,47,58,61,59,59,53,66,59,49,57,54,50,51,64,62,59,58,60,59,58,0,0,0,0,0,0,Right,Med,Low,3,2,58,60,60,60,60,60,60,61,61,61,60,60,60,61,61,58
12089,Yan Dhanda,62,Swansea City,EFL Championship,England,England,CAM,19,173,65,69,68,70,65,78,80,54,61,54,57,46,56,60,59,53,61,61,59,54,58,65,62,62,43,25,34,45,53,54,46,73,53,38,50,0,0,0,0,0,0,Right,Med,Med,3,2,47,52,52,53,53,51,58,60,60,61,59,59,59,61,61,55
12090,Randell Williams,62,Wycombe Wanderers,EFL League One,England,England,RW,21,173,76,81,83,80,64,80,75,48,63,49,54,58,55,56,52,50,48,56,48,61,47,59,54,53,29,20,44,28,30,27,52,58,66,50,38,0,0,0,0,0,0,Right,High,Med,3,2,38,46,46,49,49,43,54,62,62,59,59,59,59,62,62,57
12091,Nicola Falasco,62,Perugia,Calcio B,Italy,Italy,LB,25,186,83,67,66,67,61,65,72,54,57,56,38,55,33,49,34,37,46,51,45,58,34,56,45,41,62,61,55,54,70,68,64,61,59,65,70,0,0,0,0,0,0,Left,Med,Med,2,2,62,61,61,61,61,58,53,56,56,53,53,53,53,55,55,52
12092,Morgan Feeney,62,Everton,Premier League,England,England,CB,19,190,77,46,46,46,39,35,49,57,42,58,32,31,30,45,21,29,45,33,35,35,30,34,29,33,64,63,60,64,65,65,64,66,54,67,70,0,0,0,0,0,0,Right,Low,High,2,2,61,54,54,51,51,52,40,39,39,36,38,38,38,37,37,41
12093,Beryly Lubala,62,Birmingham City,EFL Championship,England,Congo DR,CAM,20,177,73,76,77,76,62,65,74,61,61,57,59,57,59,65,63,35,45,58,55,58,47,63,57,44,34,32,38,37,32,35,61,59,68,67,40,0,0,0,0,0,0,Right,Med,Med,2,2,44,50,50,53,53,49,57,62,62,61,61,61,61,62,62,60
12094,Jens Odgaard,62,Sassuolo,Serie A TIM,Italy,Denmark,ST,19,188,82,67,68,66,64,64,73,56,65,64,59,63,59,64,55,44,59,49,54,42,34,56,38,49,38,22,54,55,31,22,54,60,40,67,39,0,0,0,0,0,0,Left,High,Med,3,3,44,44,44,45,45,44,52,57,57,59,61,61,61,60,60,61
12095,Bryan Lozano,62,U.N.A.M.,LIGA Bancomer MX,Mexico,Mexico,RW,21,167,54,71,72,70,67,75,85,60,64,52,58,58,60,66,46,50,65,55,46,62,44,61,49,51,29,20,41,23,34,34,38,48,48,35,28,0,0,0,0,0,0,Left,Med,Med,4,3,36,46,46,49,49,42,53,61,61,60,61,61,61,62,62,59
12096,Andrés Iniestra,62,U.N.A.M.,LIGA Bancomer MX,Mexico,Mexico,CM,22,176,79,53,49,56,60,61,66,60,61,54,51,55,47,65,48,32,48,62,61,60,45,68,66,39,62,65,55,64,61,62,62,62,45,71,62,0,0,0,0,0,0,Left,Med,Med,3,2,63,60,60,60,60,63,61,58,58,59,58,58,58,58,58,56
12097,Edson Torres,62,Guadalajara,LIGA Bancomer MX,Mexico,Mexico,LM,20,165,55,72,74,71,64,69,78,55,62,51,56,51,60,60,46,48,61,59,53,60,39,64,60,54,26,24,43,17,29,29,33,42,41,29,32,0,0,0,0,0,0,Left,High,Med,3,2,34,44,44,46,46,42,54,61,61,60,60,60,60,61,61,56
12098,Young Jae Seo,62,MSV Duisburg,Bundesliga 2,Germany,Korea Republic,LB,23,182,72,69,71,67,57,69,64,59,46,49,33,49,31,35,29,32,44,42,37,60,36,40,34,39,63,60,44,65,67,68,59,67,71,54,54,0,0,0,0,0,0,Left,Med,Med,3,2,59,61,61,61,61,54,47,52,52,47,48,48,48,51,51,46
12099,Ataberk Dadakdeniz,62,Bursaspor,Super Lig,Turkey,Turkey,GK,19,194,84,0,32,28,0,44,42,54,19,39,0,6,9,24,6,9,17,0,34,10,11,22,17,10,0,13,13,7,11,11,0,38,25,60,21,63,65,61,32,58,58,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12100,Iván Morales,62,CD Viñazur,Campeonato Scotiabank,Chile,Chile,ST,19,180,76,75,72,77,63,67,67,53,62,56,58,59,65,63,41,45,56,34,44,28,30,37,26,34,24,16,62,35,11,11,65,66,70,73,40,0,0,0,0,0,0,Right,Med,Med,3,2,37,38,38,40,40,36,45,54,54,54,58,58,58,56,56,61
12101,Albin Granlund,62,Örebro SK,Allsvenskan,Sweden,Finland,LWB,29,179,79,68,67,69,56,68,66,61,55,57,33,31,32,35,34,28,38,55,57,57,42,55,52,54,57,55,46,58,59,64,68,65,81,65,58,0,0,0,0,0,0,Right,Med,Med,4,2,58,61,61,61,61,59,54,55,55,52,49,49,49,52,52,46
12102,Kelvin Arase,62,SK Rapid Wien,Osterreichische Fussball-Bundesliga,Austria,Austria,RM,19,172,62,85,84,86,69,84,68,56,68,51,52,49,55,56,42,53,52,50,50,57,42,50,44,48,26,31,38,19,24,31,42,62,49,34,48,0,0,0,0,0,0,Right,High,Med,4,3,36,46,46,48,48,41,51,61,61,59,60,60,60,62,62,56
12103,Johnny Koutroumbis,62,Newcastle Jets,Hyundai A-League,Australia,Australia,CB,20,183,73,66,67,65,60,71,69,58,58,63,24,42,22,24,22,22,36,45,46,36,32,53,48,34,62,63,55,62,64,60,61,64,58,65,54,0,0,0,0,0,0,Right,Low,High,3,2,61,58,58,57,57,58,52,52,52,50,48,48,48,50,50,45
12104,Lamine Fomba,62,AJ Auxerre,Dominos Ligue 2,France,France,CDM,20,186,69,64,60,67,63,73,75,55,64,45,45,35,38,65,43,44,45,57,53,45,43,67,65,41,62,55,65,59,67,64,61,68,65,63,47,0,0,0,0,0,0,Right,Med,Med,2,2,61,61,61,60,60,61,59,57,57,57,55,55,55,55,55,54
12105,Quentin Depehi,62,En Avant de Guingamp,Ligue 1 Conforama,France,France,ST,21,175,64,74,72,76,60,62,69,63,58,56,58,64,61,58,54,48,59,43,45,40,32,49,37,40,26,14,67,26,21,20,57,71,65,54,52,0,0,0,0,0,0,Right,Med,Med,3,2,38,42,42,43,43,39,49,57,57,56,60,60,60,58,58,61
12106,Mallik Wilks,62,Doncaster Rovers,EFL League One,England,England,LW,19,183,71,78,79,78,65,72,74,59,63,48,59,63,58,62,59,48,61,47,49,45,32,52,41,48,19,11,45,20,16,15,56,57,61,64,31,0,0,0,0,0,0,Left,High,Med,4,3,33,40,40,43,43,38,51,60,60,59,62,62,62,62,62,61
12107,Filippo Melegoni,62,Pescara,Calcio B,Italy,Italy,CM,19,186,74,48,62,36,63,66,73,60,66,59,55,55,53,66,47,50,64,66,69,59,57,68,70,59,53,40,49,57,58,58,48,48,34,52,53,0,0,0,0,0,0,Right,Med,Med,3,2,54,54,54,54,54,57,61,59,59,62,59,59,59,59,59,56
12108,Marios Siabanis,62,PAOK,Hellas Liga,Greece,Greece,GK,19,187,82,0,46,48,0,54,42,58,12,59,0,10,10,48,10,10,11,0,53,14,11,27,20,10,0,20,18,17,21,22,0,48,25,62,17,63,67,58,46,59,60,Left,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12109,Steve Ambri,62,Valenciennes FC,Dominos Ligue 2,France,France,ST,21,178,64,81,82,81,63,68,70,52,64,53,61,57,66,56,58,52,63,52,58,47,46,58,42,49,23,17,53,23,19,18,54,62,57,55,47,0,0,0,0,0,0,Left,Med,Med,3,3,36,42,42,44,44,40,53,61,61,61,62,62,62,62,62,61
12110,Jianrong Zhu,62,Shanghai Greenland Shenhua FC,CSL,China PR,China PR,ST,27,185,82,64,66,62,54,72,45,56,48,42,55,65,63,56,42,41,37,53,52,46,33,62,53,43,37,40,79,17,40,41,73,79,72,81,53,0,0,0,0,0,0,Left,Med,Low,4,2,50,49,49,50,50,49,54,57,57,57,58,58,58,57,57,61
12111,Arnór Sigurðsson,62,IFK Norrköping,Allsvenskan,Sweden,Iceland,CF,19,180,71,72,73,72,69,76,71,60,68,48,51,59,54,50,49,41,40,56,57,46,39,64,61,42,46,48,40,48,44,44,59,69,63,57,57,0,0,0,0,0,0,Right,High,Med,3,2,51,54,54,56,56,56,60,63,63,63,62,62,62,63,63,58
12112,Pedro Lomba Neto,62,Lazio,Serie A TIM,Italy,Portugal,ST,18,172,63,63,63,63,68,86,80,65,68,58,63,64,64,62,63,51,62,51,56,38,40,60,44,54,22,16,51,22,19,15,42,53,53,40,32,0,0,0,0,0,0,Left,High,Med,3,3,33,39,39,42,42,40,55,59,59,63,63,63,63,62,62,61
12113,Christian Huérfano,62,Millonarios FC,Liga Dimayor,Colombia,Colombia,RM,22,175,64,76,77,75,66,77,81,56,63,48,47,57,43,54,47,44,50,56,58,58,34,60,53,40,38,23,38,59,30,33,46,57,63,40,38,0,0,0,0,0,0,Right,Med,High,3,2,42,49,49,52,52,47,55,61,61,60,59,59,59,61,61,54
12114,Nama Fofana,62,La Berrichonne de Châteauroux,Dominos Ligue 2,France,France,RWB,28,183,78,62,63,62,52,45,59,62,58,54,25,29,17,42,19,24,40,50,38,59,26,58,47,31,64,65,64,63,67,59,66,70,58,69,65,0,0,0,0,0,0,Right,Med,Med,3,2,64,62,62,61,61,60,50,51,51,46,45,45,45,48,48,45
12115,Adrian Danek,62,Cracovia,Ekstraklasa,Poland,Poland,RM,24,180,66,73,78,69,63,66,66,52,62,53,51,57,51,56,48,49,41,55,53,60,32,63,45,43,47,38,40,50,53,47,55,44,65,60,31,0,0,0,0,0,0,Right,Med,Med,3,3,49,55,55,56,56,52,56,61,61,59,59,59,59,61,61,56
12116,Ali Ibrahimaj,62,KFC Uerdingen 05,3 Liga,Germany,Germany,RM,27,180,74,78,77,79,67,75,69,54,63,47,52,55,51,60,47,52,52,52,51,52,46,58,43,48,28,23,42,27,28,28,63,63,61,63,63,0,0,0,0,0,0,Right,Med,Med,4,3,41,45,45,48,48,44,53,61,61,59,60,60,60,61,61,58
12117,Jorge Cruz,62,Tigres U.A.N.L.,LIGA Bancomer MX,Mexico,Mexico,CB,20,184,78,45,43,47,52,45,51,61,58,54,29,40,20,46,27,32,45,46,39,30,26,60,55,30,61,60,58,60,63,64,59,74,55,61,55,0,0,0,0,0,0,Right,Low,Med,3,2,61,56,56,55,55,59,52,47,47,47,46,46,46,44,44,45
12118,Fernando Beltrán,62,Guadalajara,LIGA Bancomer MX,Mexico,Mexico,CM,20,164,66,72,70,73,67,75,91,61,67,66,55,46,51,62,60,52,56,62,64,53,53,67,66,58,57,56,50,61,57,55,49,51,35,53,56,0,0,0,0,0,0,Right,Med,Med,4,3,57,58,58,58,58,59,61,61,61,63,61,61,61,62,62,58
12119,Pablo López,62,Pachuca,LIGA Bancomer MX,Mexico,Mexico,LM,20,168,61,71,69,73,64,69,70,55,59,61,51,46,49,59,47,48,55,62,59,47,54,70,74,54,43,30,46,40,48,58,45,53,66,33,47,0,0,0,0,0,0,Left,High,Med,3,2,46,54,54,55,55,53,60,61,61,61,58,58,58,59,59,54
12120,Sofiane Ahmed-Kadi,62,Salerno,Calcio B,Italy,France,RW,21,177,70,69,70,69,66,73,75,60,58,57,56,55,60,58,45,50,59,57,50,60,40,63,55,45,24,25,33,21,25,20,41,44,48,42,30,0,0,0,0,0,0,Right,High,Med,3,2,33,42,42,46,46,42,54,61,61,60,60,60,60,62,62,56
12121,Eldar ?ivi?,62,Sparta Praha,Ceska liga,Czech Republic,Bosnia and Herzegovina,LM,22,182,76,74,75,73,61,70,68,64,64,64,51,67,54,79,24,22,39,55,54,62,28,62,45,32,45,52,42,42,45,39,67,58,60,76,54,0,0,0,0,0,0,Left,High,Med,3,2,52,55,55,57,57,54,56,61,61,59,61,61,61,61,61,61
12122,Marco Carraro,62,Foggia,Calcio B,Italy,Italy,CM,20,187,74,55,54,56,63,55,62,59,66,58,39,42,32,44,50,35,32,61,65,42,53,70,67,51,46,60,33,39,49,47,55,36,47,61,55,0,0,0,0,0,0,Left,Med,Med,4,3,51,52,52,54,54,58,61,57,57,59,55,55,55,55,55,48
12123,Opa Sanganté,62,La Berrichonne de Châteauroux,Dominos Ligue 2,France,Senegal,CM,27,188,87,60,69,53,59,61,56,54,63,51,43,51,32,60,52,34,47,57,58,48,35,66,62,39,60,60,55,59,64,54,73,59,78,76,64,0,0,0,0,0,0,Right,Med,Med,3,2,61,60,60,60,60,63,61,58,58,57,55,55,55,55,55,53
12124,Issouf Paro,62,Chamois Niortais Football Club,Dominos Ligue 2,France,Burkina Faso,CB,23,184,79,66,64,68,51,39,44,43,55,58,30,28,18,47,38,32,38,52,31,58,28,65,61,21,62,58,64,61,65,60,66,55,63,72,56,0,0,0,0,0,0,Right,Low,Med,2,2,61,60,60,59,59,59,51,51,51,47,45,45,45,48,48,45
12125,Alessandro Semprini,62,Brescia,Calcio B,Italy,Italy,RB,20,182,70,73,71,74,59,69,62,63,57,55,40,49,31,55,41,37,48,55,55,58,47,57,46,55,60,62,55,61,61,57,58,64,58,60,52,0,0,0,0,0,0,Right,Med,Med,3,2,59,61,61,60,60,58,55,57,57,55,54,54,54,56,56,52
12126,Ali Hassan Al Asmari,62,Ohod Club,Saudi Professional League,Saudi Arabia,Saudi Arabia,CM,21,185,74,68,69,67,63,62,59,65,66,56,52,48,52,57,49,48,53,59,60,47,55,66,60,49,53,56,43,56,52,54,71,66,72,79,52,0,0,0,0,0,0,Right,Med,Med,3,3,58,59,59,60,60,61,61,61,61,61,60,60,60,60,60,58
12127,Dario Šari?,62,Carpi,Calcio B,Italy,Bosnia and Herzegovina,CM,21,180,70,61,59,63,63,69,69,61,62,62,45,59,39,53,45,44,45,57,63,38,37,67,62,35,49,47,45,42,58,50,57,57,65,54,53,0,0,0,0,0,0,Right,Low,Low,3,2,52,54,54,55,55,57,61,59,59,60,58,58,58,57,57,54
12128,Joseph Champness,62,Newcastle Jets,Hyundai A-League,Australia,Australia,LM,21,189,80,85,85,85,63,67,67,42,65,54,60,61,60,64,55,61,58,53,61,55,38,57,35,54,24,19,39,20,25,24,57,40,52,70,36,0,0,0,0,0,0,Left,High,Low,3,3,36,43,43,45,45,40,51,61,61,60,62,62,62,63,63,60
12129,Tijjani Reijnders,62,AZ,Eredivisie,Holland,Holland,CM,20,185,73,66,69,63,68,82,66,57,71,53,54,54,55,59,49,51,57,64,66,55,53,71,66,54,46,28,50,61,40,46,48,56,47,48,48,0,0,0,0,0,0,Right,Med,Med,3,3,49,52,52,54,54,54,61,63,63,65,62,62,62,63,63,59
12130,Carlos Moros Gracia,62,GIF Sundsvall,Allsvenskan,Sweden,Spain,CB,25,183,80,63,62,64,56,52,58,59,57,54,30,48,30,30,24,27,39,47,47,27,26,59,56,28,62,67,54,65,60,58,62,68,56,69,50,0,0,0,0,0,0,Right,Med,Med,3,2,61,57,57,56,56,60,54,52,52,52,50,50,50,49,49,48
12131,Lewis Spence,62,Dundee FC,Scottish Premiership,Scotland,Scotland,CM,22,179,75,67,65,69,62,65,67,58,66,59,46,54,42,53,43,45,52,58,57,44,48,68,63,50,56,53,50,57,58,59,57,52,69,57,43,0,0,0,0,0,0,Right,Med,High,3,2,56,59,59,59,59,60,61,59,59,60,58,58,58,58,58,55
12132,Pierre-Daniel Nguinda,62,KSV Cercle Brugge,Belgium Pro League,Belgium,Cameroon,RB,22,184,80,67,69,66,57,58,68,53,56,50,30,41,28,27,34,29,41,48,39,61,32,54,39,37,62,59,63,60,64,63,65,59,65,70,55,0,0,0,0,0,0,Right,Med,Med,2,2,61,61,61,60,60,56,50,53,53,49,48,48,48,52,52,47
12133,Oli Shaw,62,Hibernian,Scottish Premiership,Scotland,Scotland,ST,20,188,72,60,61,59,59,59,58,63,62,44,61,63,64,59,54,54,65,44,48,28,32,58,32,48,21,19,62,17,14,18,56,69,58,65,26,0,0,0,0,0,0,Right,Med,Med,3,2,35,38,38,40,40,38,50,55,55,57,60,60,60,57,57,61
12134,Trevor Doornbusch,62,SC Heerenveen,Eredivisie,Holland,Holland,GK,19,188,80,0,38,40,0,21,44,50,18,46,0,11,6,26,5,9,17,0,41,14,12,22,18,13,0,15,14,8,12,10,0,58,22,57,26,63,64,62,38,59,62,Right,Med,Med,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12135,Nicolás Sessa,62,VfR Aalen,3 Liga,Germany,Germany,CAM,22,170,68,67,69,66,65,77,79,53,61,54,53,55,57,55,45,59,40,59,60,57,42,63,58,58,33,25,39,34,35,29,45,54,55,42,40,0,0,0,0,0,0,Left,Med,Low,3,3,39,46,46,49,49,46,56,61,61,61,59,59,59,61,61,56
12136,Ronald Hernández,62,Stabæk Fotball,Eliteserien,Norway,Venezuela,RB,21,171,67,83,82,83,58,73,82,58,55,42,33,47,31,33,35,22,38,45,37,60,30,44,39,58,57,61,40,55,62,59,62,71,71,61,53,0,0,0,0,0,0,Right,Med,Med,3,2,57,61,61,61,61,54,49,55,55,49,50,50,50,54,54,47
12137,Lenny Pintor,62,Stade Brestois 29,Dominos Ligue 2,France,France,ST,18,179,66,76,78,75,63,70,73,51,62,50,62,59,64,63,59,59,59,49,55,41,40,55,40,51,27,19,59,24,28,18,49,58,54,54,29,0,0,0,0,0,0,Right,Med,Med,3,2,37,42,42,43,43,40,52,58,58,60,61,61,61,61,61,61
12138,Franck Kanoute,62,Pescara,Calcio B,Italy,Senegal,CM,19,186,78,62,57,66,64,60,74,62,62,66,53,39,40,75,70,38,42,58,53,45,62,67,62,54,63,60,66,57,68,66,73,72,69,79,63,0,0,0,0,0,0,Right,High,Med,3,2,65,62,62,62,62,64,61,58,58,58,58,58,58,57,57,58
12139,Abdoulaye Dabo,62,FC Nantes,Ligue 1 Conforama,France,France,CM,17,181,74,67,69,65,64,62,58,53,69,40,58,54,61,54,58,59,41,62,51,61,60,69,67,52,61,54,53,62,65,63,55,37,42,68,42,0,0,0,0,0,0,Left,High,Med,2,3,59,60,60,60,60,60,61,62,62,62,61,61,61,62,62,60
12140,Mats van Kins,62,ADO Den Haag,Eredivisie,Holland,Holland,CAM,19,182,68,67,73,62,64,79,70,55,63,61,53,50,50,60,54,56,43,63,70,58,58,63,59,64,36,38,37,24,42,44,46,55,35,53,42,0,0,0,0,0,0,Left,Med,Med,3,3,43,48,48,50,50,49,57,60,60,61,59,59,59,61,61,55
12141,Jonathan Amon,62,FC Nordsjælland,Superliga,Denmark,United States,LW,19,175,71,91,92,90,69,94,94,43,63,49,53,54,55,64,40,39,54,51,50,48,34,58,45,43,26,19,32,30,24,24,51,87,66,47,34,0,0,0,0,0,0,Right,Med,Med,3,2,35,44,44,47,47,41,51,61,61,59,60,60,60,62,62,57
12142,Birk Risa,62,Odds BK,Eliteserien,Norway,Norway,RW,20,188,76,77,79,76,62,59,53,59,64,53,56,60,58,58,52,52,50,57,54,58,47,60,54,58,50,57,55,35,58,56,65,62,64,69,59,0,0,0,0,0,0,Left,Med,Med,3,3,56,59,59,60,60,57,59,63,63,61,62,62,62,62,62,61
12143,Turki Al Ammar,62,Al Shabab,Saudi Professional League,Saudi Arabia,Saudi Arabia,CM,19,170,68,62,65,60,66,79,83,59,66,40,40,53,37,45,44,33,29,60,58,58,34,67,64,34,47,49,31,47,55,38,59,60,71,57,50,0,0,0,0,0,0,Right,Med,Low,3,3,50,55,55,57,57,57,61,61,61,60,57,57,57,59,59,51
12144,Filip Kusi?,62,FC Erzgebirge Aue,Bundesliga 2,Germany,Serbia,CB,22,183,78,73,63,81,43,50,56,55,44,45,33,29,25,49,31,35,49,39,33,40,29,45,39,33,63,57,55,59,71,70,63,78,60,66,56,0,0,0,0,0,0,Right,Med,Med,3,2,61,59,59,56,56,54,44,45,45,41,42,42,42,43,43,44
12145,Harrison Delbridge,62,Melbourne City,Hyundai A-League,Australia,Australia,CB,26,193,93,62,57,66,45,57,35,49,50,59,33,25,24,54,36,20,33,40,34,21,26,57,43,20,57,56,60,56,55,62,78,69,68,87,72,0,0,0,0,0,0,Left,High,Med,3,2,61,55,55,53,53,56,46,43,43,43,43,43,43,41,41,45
12146,Seung Woo Nam,62,Gangwon FC,K LEAGUE Classic,Korea Republic,Korea Republic,CAM,26,179,80,70,73,67,63,51,69,57,65,57,53,65,56,57,45,43,43,56,55,52,35,63,54,49,34,22,41,47,26,36,53,55,63,53,39,0,0,0,0,0,0,Right,Med,Med,3,3,41,48,48,50,50,47,56,62,62,61,61,61,61,61,61,58
12147,Dayle Grubb,62,Forest Green Rovers,EFL League Two,England,England,RM,27,183,82,71,70,71,62,67,62,45,61,60,56,57,58,58,55,40,54,58,56,64,61,57,53,60,23,20,34,23,21,20,61,55,73,64,38,0,0,0,0,0,0,Right,Med,Med,3,2,34,43,43,47,47,42,54,61,61,58,58,58,58,60,60,56
12148,Florian Mayer,62,Borussia Mönchengladbach,Bundesliga,Germany,Germany,CB,20,191,87,53,54,52,41,37,46,49,42,42,34,28,31,49,23,29,47,38,30,36,32,46,39,32,63,60,60,61,68,67,64,67,55,70,59,0,0,0,0,0,0,Right,Med,Med,3,2,61,55,55,53,53,54,42,41,41,39,40,40,40,39,39,43
12149,Ricardo Schuck Friedrich,62,FK Bodø/Glimt,Eliteserien,Norway,Brazil,GK,25,188,83,0,38,20,0,40,35,62,17,48,0,10,12,20,15,13,20,0,45,13,13,18,20,15,0,12,11,21,20,15,0,45,30,58,28,63,64,59,38,53,59,Right,Med,Med,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12150,Marius Lode,62,FK Bodø/Glimt,Eliteserien,Norway,Norway,CB,25,185,77,72,67,76,55,62,60,54,55,42,32,23,28,37,38,34,35,43,32,29,28,57,51,26,60,58,60,62,59,60,68,67,67,72,58,0,0,0,0,0,0,Right,Med,Med,3,2,61,58,58,57,57,57,50,49,49,47,46,46,46,47,47,46
12151,Furkan Motori,62,Trelleborgs FF,Allsvenskan,Sweden,Sweden,LM,23,171,63,70,73,68,69,83,74,50,68,61,45,47,47,52,36,43,38,61,67,64,64,57,58,61,26,22,29,28,25,29,39,72,55,34,25,0,0,0,0,0,0,Right,High,Low,2,3,34,44,44,48,48,43,55,61,61,60,58,58,58,61,61,51
12152,Vivaldo Neto,62,Hammarby IF,Allsvenskan,Sweden,Brazil,LB,22,183,85,72,70,74,62,60,63,52,64,60,44,59,42,54,38,33,32,57,58,62,30,59,57,44,58,56,51,62,59,58,69,56,71,72,63,0,0,0,0,0,0,Left,High,Med,3,2,60,61,61,62,62,60,58,61,61,58,58,58,58,59,59,55
12153,David Otto,62,TSG 1899 Hoffenheim,Bundesliga,Germany,Germany,ST,19,185,82,65,66,65,55,55,62,56,55,53,62,59,68,60,56,46,68,47,49,43,34,54,38,43,23,13,63,27,16,14,59,67,60,68,32,0,0,0,0,0,0,Right,Med,Med,3,3,36,39,39,40,40,38,49,55,55,55,58,58,58,56,56,61
12154,Ferdy Druijf,62,AZ,Eredivisie,Holland,Holland,ST,20,190,83,52,53,52,50,55,49,58,56,55,63,60,66,68,52,60,67,45,54,30,33,53,36,58,33,24,71,37,25,23,69,61,63,79,52,0,0,0,0,0,0,Right,Med,Med,3,2,44,41,41,41,41,43,49,51,51,53,56,56,56,52,52,61
12155,Luke Hannant,62,Port Vale,EFL League Two,England,England,CM,24,180,67,67,64,69,63,59,71,62,65,70,58,63,62,59,55,45,39,56,57,52,32,62,58,46,55,55,52,56,56,51,72,63,73,69,78,0,0,0,0,0,0,Right,Med,Med,4,2,59,59,59,60,60,61,61,62,62,61,62,62,62,61,61,61
